generic,original_generic,category
Cattle infect with viruses.,cattle infect with viruses.,min
Polar bears have natural predators.,polar bears have natural predators.,min
Lynxes have spots.,lynxes have spots.,min
Leaf shapes are part of petals.,leaf shapes are part of petals.,min
Bears develop molars.,bears develop molars.,min
Dolphins swim in sanctuaries.,dolphins swim in sanctuaries.,min
Killer whales eat otters.,killer whales eat otters.,min
Bears prey on livestock.,bears prey on livestock.,min
Oxytocins stimulate contraction.,oxytocins stimulate contraction.,min
Antelopes have length.,antelopes have length.,min
Metal boxes contain carbon compounds.,metal boxes contain carbon compounds.,min
Vertebrates use gills.,vertebrates use gills.,min
Caterpillars tie leaves together with webbing and eat the leaf from within the cocoon.,caterpillars tie leaves together with webbing and eat the leaf from within the cocoon.,min
Dioxide reacts with water.,dioxide reacts with water.,min
Chameleons develop heat.,chameleons develop heat.,min
Pronghorn bucks have scent glands.,pronghorn bucks have scent glands.,min
Caracals detect small prey.,caracals detect small prey.,min
Tarsiers have glands.,tarsiers have glands.,min
Chimpanzees collect leaves.,chimpanzees collect leaves.,min
Macaques live in indoor cages.,macaques live in indoor cages.,min
Molecules are so long and skinny that they act like strands of spaghetti.,molecules are so long and skinny that they act like strands of spaghetti.,min
Deer emerge from forests.,deer emerge from forests.,min
Anaerobic respiration produces acid.,anaerobic respiration produces acid.,min
Capybaras have predators.,capybaras have predators.,min
Rock wallabies live in deserts.,rock wallabies live in deserts.,min
Bats eat guava fruit.,bats eat guava fruit.,min
Dogs dig before urination or defecation.,dogs dig before urination or defecation.,min
Pigs live in habitats.,pigs live in habitats.,min
Spiny anteaters have pouches.,spiny anteaters have pouches.,min
Badgers eat snakes.,badgers eat snakes.,min
Cats have extra toes.,cats have extra toes.,min
Cats have a little blood in their stool occasionally.,"cats have a little blood in their stool occasionally, with no identifiable disease.",min
Chimpanzees use hips.,chimpanzees use hips.,min
Genetic factors affect cholesterol absorption.,genetic factors affect cholesterol absorption.,min
Carbohydrates come from fruit.,carbohydrates come from fruit.,min
Dugongs have large intestines.,dugongs have large intestines.,min
Dogs are unable to move their tail.,"dogs are unable to move their tail, or have severe pain if the tail is moved.",min
Pigs feed excess proteins.,pigs feed excess proteins.,min
Chimpanzees live in locations.,chimpanzees live in locations.,min
Batteries can release flammable hydrogen gas.,batteries can release flammable hydrogen gas.,min
Armadillos build burrows.,armadillos build burrows.,min
Foxes prey on scorpions.,foxes prey on scorpions.,min
Chipmunks make nests in logs or in bushes.,chipmunks make nests in logs or in bushes.,min
Rats live in trenches.,rats live in trenches.,min
Macaques carry viruses.,macaques carry viruses.,min
Carbohydrates are consumed by african apes.,carbohydrates are consumed by african apes.,min
Bears eat rabbits.,bears eat rabbits.,min
Domestic dogs descend from wolves.,domestic dogs descend from wolves.,min
Hyenas live in terrains.,hyenas live in terrains.,min
Camel crickets have powerful hind legs.,camel crickets have powerful hind legs.,min
Panthers live in rainforests.,panthers live in rainforests.,min
Caterpillars secrete ant pheromone.,caterpillars secrete ant pheromone.,min
Monkeys also eat meat in the form of bird's eggs.,"monkeys also eat meat in the form of bird's eggs, small lizards, insects and spiders.",min
Platypuses have ovaries.,platypuses have ovaries.,min
Wolves avoid predators.,wolves avoid predators.,min
Ferrets use prairie dog burrows.,ferrets use prairie dog burrows.,min
Leopards kill deer.,leopards kill deer.,min
Chameleons feed on arthropods.,chameleons feed on arthropods.,min
Dolphins live in rivers but most live in the sea.,dolphins live in rivers but most live in the sea.,min
Mycotoxins are documented carcinogens.,"mycotoxins are documented carcinogens, implying they are suspect cancer-causing agents.",min
Domestic cats have chromopairs.,domestic cats have chromopairs.,min
Elephants live in regions.,elephants live in regions.,min
Tigers defend prey.,tigers defend prey.,min
Walruses are blue-eyed.,walruses are blue-eyed.,min
Black bears prey on livestock.,black bears prey on livestock.,min
Dolphins live in really deep water and dolphins live in more shallow water.,dolphins live in really deep water and dolphins live in more shallow water.,min
Echidnas have pouches.,echidnas have pouches.,min
Mountain lions have limbs.,mountain lions have limbs.,min
Hippopotamuses eat grass.,hippopotamuses eat grass.,min
Rats feed on insects.,rats feed on insects.,min
Hedgehogs adapt to environments.,hedgehogs adapt to environments.,min
Bats feed only on fruits and nectar.,bats feed only on fruits and nectar.,min
Sodium hydroxide has ionic bonds.,sodium hydroxide has ionic bonds.,min
Chimpanzees sleep on floors.,chimpanzees sleep on floors.,min
Deer feed on acacias.,deer feed on acacias.,min
Cows have tusks.,cows have tusks.,min
Male walruses have sacs.,male walruses have sacs.,min
Caterpillars feed on oak.,caterpillars feed on oak.,min
Moles produce dark.,"moles produce dark, coarse hair .",min
Cheetahs have cavities.,cheetahs have cavities.,min
Bears have animal proteins.,bears have animal proteins.,min
Gerbils develop tumors.,gerbils develop tumors.,min
Black rhinoceroses possess hooks.,black rhinoceroses possess hooks.,min
Pangolins have long sticky tongues.,pangolins have long sticky tongues.,min
Tuataras have organs.,tuataras have organs.,min
Flycatchers nest in habitats.,flycatchers nest in habitats.,min
Tapeworms infect humans.,tapeworms infect humans.,min
Bats have a head shaped like that of a miniature bear or dog.,bats have a head shaped like that of a miniature bear or dog.,min
Bears eat bison.,bears eat bison.,min
Squirrels make food.,squirrels make food.,min
Respiratory diseases are transmitted by rodents.,respiratory diseases are transmitted by rodents.,min
Gorillas feed in groups.,gorillas feed in groups.,min
Elephants walk on toes.,elephants walk on toes.,min
Marmosets have stripes.,marmosets have stripes.,min
Respiratory infection occurs in animals.,respiratory infection occurs in animals.,min
Respiratory tracts contain gases.,respiratory tracts contain gases.,min
Bears depend on animals.,bears depend on animals.,min
Giraffes have horns.,giraffes have horns.,min
Bats achieve sexual maturity in their first year.,"bats achieve sexual maturity in their first year, others in their second.",min
African elephants inhabit congo basins.,african elephants inhabit congo basins.,min
Chimpanzees consume animal prey.,chimpanzees consume animal prey.,min
Chimpanzees have multiple partners.,chimpanzees have multiple partners.,min
Raccoons develop crush teeth.,raccoons develop crush teeth.,min
Mice live on gulf coasts.,mice live on gulf coasts.,min
Cats eat infect fish.,cats eat infect fish.,min
Simple oxides have crystal structures just like halides.,simple oxides have crystal structures just like halides.,min
Caterpillars invade trees.,caterpillars invade trees.,min
Wood rats live in trees.,wood rats live in trees.,min
Human blood causes diseases.,human blood causes diseases.,min
Opossums live in trees.,opossums live in trees.,min
Toxic chemicals inhibit germination.,toxic chemicals inhibit germination.,min
Rats eat grain.,rats eat grain.,min
Chimpanzees possess sex.,chimpanzees possess sex.,min
Bats eat blood.,bats eat blood.,min
Pigs live in bushes.,pigs live in bushes.,min
Wolves eat mice.,wolves eat mice.,min
Bats eat plant material.,bats eat plant material.,min
Platypuses eat insect larvae.,platypuses eat insect larvae.,min
Rabbits have sharp claws.,rabbits have sharp claws.,min
Dogs suffer from arthritis.,dogs suffer from arthritis.,min
Porcupines eat pear trees.,porcupines eat pear trees.,min
Anteaters use claws.,anteaters use claws.,min
Hippopotamuses eat invasive water hyacinths.,hippopotamuses eat invasive water hyacinths.,min
Platypuses eat larvae.,platypuses eat larvae.,min
Panthers eat raccoons.,panthers eat raccoons.,min
Chameleons regulate own body temperature.,chameleons regulate own body temperature.,min
Mice transmit organisms.,mice transmit organisms.,min
Dolphins have whiskers.,dolphins have whiskers.,min
Hyenas eat fruit.,hyenas eat fruit.,min
Caterpillars rest on trees.,caterpillars rest on trees.,min
Monkeys have infants.,monkeys have infants.,min
Tapeworms develop cancer.,tapeworms develop cancer.,min
Bats go into hibernation.,bats go into hibernation.,min
Black bears have short strong claws.,black bears have short strong claws.,min
Invertebrates have an internal skeleton.,invertebrates have an internal skeleton.,min
Mountain gorillas live in earth.,mountain gorillas live in earth.,min
Sea lions kill pelicans.,sea lions kill pelicans.,min
Monkeys possess cheek pouches.,monkeys possess cheek pouches.,min
Meadow voles eat roots.,meadow voles eat roots.,min
Jaguars consume roots.,jaguars consume roots.,min
Foxes play in ponds.,foxes play in ponds.,min
Fox squirrels prefer oak.,fox squirrels prefer oak.,min
Tuataras have skin.,tuataras have skin.,min
Temperate rainforests have distinct seasons.,temperate rainforests have distinct seasons.,min
Toxins are produced by coral snakes.,toxins are produced by coral snakes.,min
Porcupines eat roots.,porcupines eat roots.,min
Malpighian corpuscles show a deposition of proteinaceous material.,malpighian corpuscles show a deposition of proteinaceous material.,min
Coyotes prey on cats.,coyotes prey on cats.,min
Chimpanzees migrate to countries.,chimpanzees migrate to countries.,min
Rats live in africa.,rats live in africa.,min
Monkeys feed at nights.,monkeys feed at nights.,min
Spiny anteaters have fur.,spiny anteaters have fur.,min
Hares eat animals.,hares eat animals.,min
Tunicates have organs.,tunicates have organs.,min
Tapirs eat fruit.,tapirs eat fruit.,min
Deer have predators.,deer have predators.,min
Bears possess food.,bears possess food.,min
Koalas have penises.,koalas have penises.,min
Bears swim in parks.,bears swim in parks.,min
Monkeys possess ovaries.,monkeys possess ovaries.,min
Squirrels bite heads.,squirrels bite heads.,min
Walruses rely on squids.,walruses rely on squids.,min
Dogs eat livestock.,dogs eat livestock.,min
Molecular compounds conduct electricity.,molecular compounds conduct electricity.,min
Gerbils carry rabies.,gerbils carry rabies.,min
Caterpillars eat shed skin.,caterpillars eat shed skin.,min
Squirrels use hollow tree cavities.,squirrels use hollow tree cavities.,min
Antelopes occur in large numbers.,antelopes occur in large numbers.,min
Toxic proteins promote inflammation.,toxic proteins promote inflammation.,min
Killer whales eat sea otters.,killer whales eat sea otters.,min
Pheasants live in mountains.,pheasants live in mountains.,min
Tapeworms inhabit intestines.,tapeworms inhabit intestines.,min
Elephants consume whole trees.,elephants consume whole trees.,min
Eastern chipmunks eat insects.,eastern chipmunks eat insects.,min
Nutrias are distinguished by teeth.,nutrias are distinguished by teeth.,min
Big cats prey on animals.,big cats prey on animals.,min
Oxygen has low solubility.,oxygen has low solubility.,min
Chipmunks live in underground burrows.,chipmunks live in underground burrows.,min
